id,energy_per_atom,formation_energy,Cu,Co
10.0,-4.169019101930025,2.878303749928307,12.0,15.0
11.0,-4.656432233634387,0.977999549077623,3.0,24.0
12.0,-3.904620527958452,3.7615928276235095,17.0,10.0
13.0,-3.902834820207856,3.8098069368896077,17.0,10.0
14.0,-3.9668794955567415,3.3316951863771536,16.0,11.0
15.0,-4.161430677405271,3.083191212096665,12.0,15.0
16.0,-4.4293290594372365,2.105407316770865,7.0,20.0
17.0,-4.365202950750128,2.585717767415332,8.0,19.0
18.0,-3.998434161863469,3.73081368000296,15.0,12.0
19.0,-4.404079663703775,2.7871410015743265,7.0,20.0
2.0,-3.580570453460266,0.0,27.0,0.0
20.0,-3.99557822649032,2.556829451170536,16.0,11.0
21.0,-4.241828029319998,3.414651678213943,10.0,17.0
22.0,-4.024308694993193,3.032201285500399,15.0,12.0
23.0,-4.103264527509196,3.4025827753832516,13.0,14.0
24.0,-4.218585437288144,2.791107179166545,11.0,16.0
25.0,-3.69774950390064,1.8405435737397084,23.0,4.0
26.0,-4.453784950490884,2.69619274222984,6.0,21.0
27.0,-4.267767325311669,3.9653851703462806,9.0,18.0
28.0,-4.128832098763446,2.7122583515184715,13.0,14.0
29.0,-3.659189021889525,1.6305821041323725,24.0,3.0
3.0,-4.831664937367719,0.0,0.0,27.0
30.0,-3.829113015801857,3.2981066880366683,19.0,8.0
31.0,-3.855849822492887,3.827307391286311,18.0,9.0
4.0,-4.2914221680781575,3.326704415651079,9.0,18.0
5.0,-3.760417262403522,2.650703061976813,21.0,6.0
6.0,-3.821543915325624,2.251377916987508,20.0,7.0
7.0,-3.913902581425666,3.510977384008733,17.0,10.0
8.0,-4.035166302540965,2.739045881710574,15.0,12.0
9.0,-4.441710881221431,3.0221926125050516,6.0,21.0
